name,title,url_link
NewJeans,[NewZips] 뉴진스.zip OPEN!🔍 EP.1ㅣNewJeans,https://www.youtube.com//watch?v=9IV9Wju5f0Q
HYBE LABELS,NewJeans (뉴진스) 'Hype Boy' Official MV (HANNI ver.),https://www.youtube.com//watch?v=jM-K-h9gUdM
명식이,NewJeans(뉴진스) - Attention & Hype Boy (1 Hour Loop) | 1시간,https://www.youtube.com//watch?v=tVR3s4I8DgU
스브스케이팝 X INKIGAYO,[단독샷캠4K] 뉴진스 'Hype Boy' 단독샷 별도녹화│NewJeans ONE TAKE STAGE @SBS Inkigayo 220821,https://www.youtube.com//watch?v=5sp_qdC3_dg
NewJeans,NewJeans(뉴진스) 'Hurt' Special Video,https://www.youtube.com//watch?v=-L7eMf6Yf84
NewJeans,NewJeans (뉴진스) 'Hype Boy' Special Performance Video,https://www.youtube.com//watch?v=Gw2jHej29QE
K-POP도감 [스타들의 성장 STORY] K-POP BOOK,뉴진스 시상식 의상 무슨일??? 충격코디에 멘붕 #뉴진스 의상논란 #뉴진스 더팩트 댓글,https://www.youtube.com//watch?v=vx8pCqgAIls
K MUSIC,"[Playlist] NewJeans (뉴진스) - Attention, Hype Boy, Hurt | 뉴진스 노래 모음",https://www.youtube.com//watch?v=r8-bGl_6HeQ
Sad,NewJeans (뉴진스) - Attention (1 Hour Loop) / 1시간,https://www.youtube.com//watch?v=DhlPeoFZVac
Rock Music,NewJeans 뉴진스 'Attention 어텐션' | 단국대학교 축제 [4K 직캠] 220921,https://www.youtube.com//watch?v=LeCyI_X-ITg
Mnet K-POP,[NewJeans - Attention] #엠카운트다운 EP.765 | Mnet 220811 방송,https://www.youtube.com//watch?v=suHqAf-2Exo
Doyouram - Everyday K-Culture,"방탄소년단 솔로 2명, 뉴진스 컴백 등 하이브의 계획(ENG, ESP, INDO)",https://www.youtube.com//watch?v=lvgmHoDOfgU
NewJeans,[Making Jeans] NewJeans (뉴진스) 1st EP 'New Jeans' 비하인드 EP.2,https://www.youtube.com//watch?v=6AR_hBqR274
DANPIA,NewJeans 뉴진스 - Hype Boy (Citypop ver.) 시티팝 버전,https://www.youtube.com//watch?v=fXjdkWP2kaM
1 Høur,NewJeans (뉴진스) - Attention X Hype Boy (1 HOUR LOOP) Lyrics | 1시간 가사,https://www.youtube.com//watch?v=BYQq0TSnxUw
Bridge TV,"뉴진스 Cookie 가사 선정성 논란, 동시통역사의 설명",https://www.youtube.com//watch?v=z4X-0QAUCjw
𝙎𝙖𝙙 𝙉𝙞𝙜𝙝𝙩,NewJeans (뉴진스) - Attention (1 HOUR LOOP) Lyrics | 1시간,https://www.youtube.com//watch?v=kX61k5hPVyo
SBS NOW / SBS 공식 채널,[티저] 룩킹 훨 하이 텐션..❤ 예능 새내기 뉴진스가 부산에 떴다! #뉴진스코드 | SBSNOW,https://www.youtube.com//watch?v=_MMIS7VJGmM
NewJeans,[Light Jeans] NewJeans GQ Photoshoot Behind 📕,https://www.youtube.com//watch?v=-9Pw3ibD9NU
이슈피드,눈도 안마주치네 ㄷㄷ 잘나가는 후배 뉴진스를 처음 만난 장원영의 충격적인 반응,https://www.youtube.com//watch?v=u64ZxH-LLg4
세련 𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭,"[𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭] 그냥 미친 조합,, 아이브,뉴진스 노래 모음 💦",https://www.youtube.com//watch?v=xEI3aVi3x1c
ARTBEAT,[여기서요?] 뉴진스 NewJeans - Attention | 커버댄스 Dance Cover @동성로,https://www.youtube.com//watch?v=r77nAGR4KTk
1 Høur,NewJeans (뉴진스) - Hype Boy (1 HOUR LOOP) Lyrics | 1시간 가사,https://www.youtube.com//watch?v=v17WB-hE988
HYBE LABELS,NewJeans (뉴진스) 'Hype Boy' Official MV (Intro),https://www.youtube.com//watch?v=SHYWqy_X-tU
강고양이해린,어딘가.. 이상한 신인 아이돌 강해린 모먼트 [뉴진스 해린],https://www.youtube.com//watch?v=M0TH7zscBIM
스브스케이팝 X INKIGAYO,[안방1열 풀캠4K] 뉴진스 'Hype Boy' (NewJeans FullCam)│@SBS Inkigayo 220821,https://www.youtube.com//watch?v=YLy4iXLu0qI
스브스케이팝 X INKIGAYO,NewJeans(뉴진스) - Hurt @인기가요 inkigayo 20220828,https://www.youtube.com//watch?v=4SjJzU05Qjc
SBS Radio 에라오,[FULL][4K] 절대 질리지 않는 완벽한 갓기 그룹의 탄생! 💙뉴진스(NewJeans)💙 | 고막을 털어라 | 두시탈출 컬투쇼 | 220814,https://www.youtube.com//watch?v=wf5bRNl24tY
aid tun김교차,NewJeans(뉴진스) - Hype boy 교차편집(stage mix),https://www.youtube.com//watch?v=oo9Jsu5jy-0
1 Høur,NewJeans (뉴진스) - Cookie + Hype Boy + Attention (1 HOUR LOOP) Lyrics | 1시간 가사,https://www.youtube.com//watch?v=70C-ERtq6W4
NewJeans,NewJeans (뉴진스) 'Attention' Dance Practice (ver.2),https://www.youtube.com//watch?v=mzkbi6xNmSg
M2,[MPD직캠] 뉴진스 직캠 4K 'Hype Boy' (NewJeans FanCam) | @MCOUNTDOWN_2022.8.25,https://www.youtube.com//watch?v=rpyjbG6DC4g
STUDIO CHOOM [스튜디오 춤],(Full Focused) NewJeans(뉴진스) 'Attention' 4K | BE ORIGINAL,https://www.youtube.com//watch?v=AG54RjPx0m8
YummybearTV,NEW JEANS 뉴진스 Win 'NEXT LEADER' in The Fact Music Awards 2022,https://www.youtube.com//watch?v=wGZzKMBkV68
M2,[MPD직캠] 뉴진스 직캠 8K 'Cookie' (NewJeans FanCam) | @MCOUNTDOWN_2022.8.4,https://www.youtube.com//watch?v=dNayEt_IXog
HYBE LABELS,NewJeans (뉴진스) ‘We Are NewJeans’,https://www.youtube.com//watch?v=k8fSPMXWAR4
HYBE LABELS,NewJeans (뉴진스) 'Hype Boy' Official MV (HYEIN ver.),https://www.youtube.com//watch?v=j6r7Px6w2ik
LQ KPOP,[Full Album] NewJeans (뉴진스) - New Jeans,https://www.youtube.com//watch?v=hbKG44p_ySM
응옥 김,[뉴진스 하니(New Jeans Hanni)] 은은하지만 확실한 개그캐 팜하니,https://www.youtube.com//watch?v=6-66LsU1eCo
M2,[입덕직캠] 뉴진스 해린 직캠 4K 'Hype Boy' (NewJeans HAERIN FanCam) | @MCOUNTDOWN_2022.8.4,https://www.youtube.com//watch?v=fajvR2IjnRc
스브스케이팝 X INKIGAYO,[안방1열 풀캠4K] 뉴진스 'Cookie' (NewJeans FullCam)│@SBS Inkigayo 220807,https://www.youtube.com//watch?v=13aW5zJ832U
BS 일상 【Vlog】,[해설자막/일본방송] 우영우의 주인공 박은빈과 뉴진스 중점 소개 #일본방송 #kpop ##뉴진스 #newjeans #우영우 #박은빈 #wooyoungwoo,https://www.youtube.com//watch?v=4ox3hLxFEz0
